Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Ang,Dew_Min,Hum_Max,Hum_Min,Wind_Max,Wind_Min,Pressure_Max,Pressure_Min,Class
5/1/17,77,69,60,60,51,33,87,27,13,0,30.01,29.9,0
5/2/17,72,67,61,60,59,56,97,63,12,0,29.98,29.9,0
5/3/17,75,68,61,61,59,57,90,57,13,0,30.01,29.93,0
5/4/17,73,69,64,60,59,57,84,64,14,0,30,29.93,0
5/5/17,66,64,62,58,57,53,84,78,12,4,29.96,29.85,0
5/6/17,64,62,60,59,50,38,84,60,21,4,29.93,29.84,0
5/7/17,59,56,53,52,49,45,93,66,26,0,29.92,29.88,0
5/8/17,67,60,53,57,52,45,93,48,21,0,29.93,29.85,0
5/9/17,65,62,59,57,54,53,90,67,15,4,30.04,29.86,0
5/10/17,67,63,59,58,56,54,90,63,12,0,30.15,30.02,0
5/11/17,70,66,61,56,56,55,84,63,17,4,30.14,30.08,0
5/12/17,69,65,61,58,56,54,90,73,14,0,30.08,29.94,0
5/13/17,70,66,61,56,52,48,78,53,15,0,29.94,29.86,0
5/14/17,65,63,60,55,51,49,84,56,16,0,29.96,29.88,0
5/15/17,65,62,58,50,46,40,69,43,20,8,30.02,29.93,0
5/16/17,65,62,59,52,49,46,72,52,14,5,30.1,29.99,0
5/17/17,67,63,59,54,51,48,69,60,14,5,30.04,29.89,0
5/18/17,70,66,61,57,55,53,78,59,13,0,29.93,29.87,0
5/19/17,79,69,59,60,52,44,87,32,20,0,29.94,29.88,0
5/20/17,85,75,64,60,50,41,81,22,21,0,29.91,29.82,1
5/21/17,78,71,63,61,60,58,90,48,12,0,29.99,29.88,1
5/22/17,72,67,61,60,59,57,93,61,14,0,29.99,29.93,1
5/23/17,73,68,62,60,59,57,90,61,16,0,29.99,29.91,1
5/24/17,71,66,61,59,56,52,90,61,14,0,29.93,29.85,0
5/25/17,68,65,61,52,51,49,72,56,14,0,29.96,29.87,0
5/26/17,72,68,63,56,52,48,78,47,15,4,30.05,29.95,0
5/27/17,70,66,61,56,54,51,78,55,18,0,30.09,30.01,0
5/28/17,70,64,58,57,55,53,86,61,17,0,30.05,29.99,0
5/29/17,67,64,61,58,57,56,90,73,12,0,29.99,29.9,0
5/30/17,66,63,59,57,55,55,84,68,14,0,29.96,29.9,0
5/31/17,65,63,60,57,56,55,84,73,15,4,29.92,29.87,0
