STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72290023188,1/1/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",55.9,24,46.2,24,1019.9,23,19.1,24,7.3,24,3.4,24,12,999.9,61, ,45, ,0,G,999.9,0
72290023188,1/2/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",56,24,40.5,24,1018,24,17,24,8,24,3.7,24,12,999.9,70, ,46.9, ,0,G,999.9,0
72290023188,1/3/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",57,24,37.2,24,1018.8,24,17.8,24,10,24,2.8,24,8.9,999.9,70, ,48, ,0,G,999.9,0
72290023188,1/4/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",57.5,24,49.1,24,1019.7,23,18.7,24,8.8,24,5.6,24,8,999.9,64, ,50, ,0,G,999.9,0
72290023188,1/5/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",57,24,38.3,24,1017.6,21,16.4,24,9.4,24,12,24,22,27,64, ,52, ,0.04,G,999.9,10000
72290023188,1/6/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",54.1,24,8.3,24,1024.5,24,23.5,24,9.9,24,5.9,24,12,999.9,64, ,46.9, ,0,G,999.9,0
72290023188,1/7/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",55.6,24,28.5,24,1024.8,24,23.8,24,10,24,3.5,24,14,20,77, ,44.1, ,0,G,999.9,0
72290023188,1/8/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",59.9,24,33,24,1022.2,24,21.2,24,9.7,24,3.4,24,8.9,999.9,77, ,45, ,0,G,999.9,0
72290023188,1/9/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",60,24,34.1,24,1018.4,24,17.4,24,9.8,24,1.8,24,8,999.9,75, ,48.9, ,0,G,999.9,0
72290023188,1/10/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",57.4,24,36,24,1016.3,24,15.3,24,10,24,2.4,24,9.9,18.1,75, ,50, ,0,G,999.9,0
72290023188,1/11/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",56.5,24,48.3,24,1014.6,19,13.6,24,9.7,24,6.2,24,14,17.1,64, ,50, ,0,G,999.9,0
72290023188,1/12/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",53.4,24,31.8,24,1015.1,24,14.1,24,10,24,12,24,15.9,21,59, ,51.1, ,0,G,999.9,0
72290023188,1/13/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",48.8,24,22.4,24,1019.5,24,18.5,24,10,24,4.1,24,9.9,999.9,55.9, ,45, ,0,G,999.9,10000
72290023188,1/14/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",45.1,24,17.5,24,1023.9,24,22.9,24,9.8,24,3,24,8.9,999.9,54, ,36, ,0,G,999.9,0
72290023188,1/15/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",46.4,24,18.1,24,1025.7,24,24.7,24,10,24,3.9,24,15,999.9,57, ,35.1, ,0,G,999.9,0
72290023188,1/16/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",48.2,24,14,24,1024.3,24,23.3,24,9.9,24,4.3,24,13,999.9,57.9, ,37, ,0,G,999.9,0
72290023188,1/17/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",48.9,24,24.4,24,1020.9,24,19.9,24,9.8,24,3.9,24,12,999.9,57.9, ,37.9, ,0,G,999.9,0
72290023188,1/18/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",50.3,24,36,24,1019.8,24,18.8,24,10,24,2.9,24,11.1,999.9,60.1, ,39.9, ,0,G,999.9,0
72290023188,1/19/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",54.2,24,36.4,24,1018.1,24,17.1,24,10,24,4.5,24,8.9,999.9,61, ,44.1, ,0,G,999.9,10000
72290023188,1/20/07,32.7336,-117.1831,4.6,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",52.2,24,37.1,24,1018.8,24,17.8,24,9.7,24,3.2,24,9.9,999.9,61, ,43, ,0,G,999.9,0
