Date,Month,Year,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Ang,Dew_Min,Hum_Max,Hum_Min,Wind_Max,Wind_Min,Pressure_Max,Pressure_Min,Class
1,5,2017,77,69,60,60,51,33,87,27,13,0,30.01,29.9,0
2,5,2017,72,67,61,60,59,56,97,63,12,0,29.98,29.9,0
3,5,2017,75,68,61,61,59,57,90,57,13,0,30.01,29.93,0
4,5,2017,73,69,64,60,59,57,84,64,14,0,30,29.93,0
5,5,2017,66,64,62,58,57,53,84,78,12,4,29.96,29.85,0
6,5,2017,64,62,60,59,50,38,84,60,21,4,29.93,29.84,0
7,5,2017,59,56,53,52,49,45,93,66,26,0,29.92,29.88,0
8,5,2017,67,60,53,57,52,45,93,48,21,0,29.93,29.85,0
9,5,2017,65,62,59,57,54,53,90,67,15,4,30.04,29.86,0
10,5,2017,67,63,59,58,56,54,90,63,12,0,30.15,30.02,0
11,5,2017,70,66,61,56,56,55,84,63,17,4,30.14,30.08,0
12,5,2017,69,65,61,58,56,54,90,73,14,0,30.08,29.94,0
13,5,2017,70,66,61,56,52,48,78,53,15,0,29.94,29.86,0
14,5,2017,65,63,60,55,51,49,84,56,16,0,29.96,29.88,0
15,5,2017,65,62,58,50,46,40,69,43,20,8,30.02,29.93,0
16,5,2017,65,62,59,52,49,46,72,52,14,5,30.1,29.99,0
17,5,2017,67,63,59,54,51,48,69,60,14,5,30.04,29.89,0
18,5,2017,70,66,61,57,55,53,78,59,13,0,29.93,29.87,0
19,5,2017,79,69,59,60,52,44,87,32,20,0,29.94,29.88,0
20,5,2017,85,75,64,60,50,41,81,22,21,0,29.91,29.82,1
21,5,2017,78,71,63,61,60,58,90,48,12,0,29.99,29.88,1
22,5,2017,72,67,61,60,59,57,93,61,14,0,29.99,29.93,1
23,5,2017,73,68,62,60,59,57,90,61,16,0,29.99,29.91,1
24,5,2017,71,66,61,59,56,52,90,61,14,0,29.93,29.85,0
25,5,2017,68,65,61,52,51,49,72,56,14,0,29.96,29.87,0
26,5,2017,72,68,63,56,52,48,78,47,15,4,30.05,29.95,0
27,5,2017,70,66,61,56,54,51,78,55,18,0,30.09,30.01,0
28,5,2017,70,64,58,57,55,53,86,61,17,0,30.05,29.99,0
29,5,2017,67,64,61,58,57,56,90,73,12,0,29.99,29.9,0
30,5,2017,66,63,59,57,55,55,84,68,14,0,29.96,29.9,0
31,5,2017,65,63,60,57,56,55,84,73,15,4,29.92,29.87,0
