Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Hum_Max,Hum_Min,Wind_Max,Wind_Min,Pressure_Max,Pressure_Min,Precipitaion_Avg,Class
1/1/17,59,54,48,47,44,42,86,44,12,0,30.06,29.9,0,0
1/2/17,60,57,54,47,46,45,77,49,6,0,30.2,30.05,0,0
1/3/17,62,57,52,48,46,45,83,50,7,0,30.21,30.12,0,0
1/4/17,65,57,49,49,46,44,83,48,12,0,30.19,30.08,0,0
1/5/17,60,56,52,61,55,47,93,64,17,0,30.1,29.98,0.68,0
1/6/17,64,59,53,54,51,48,93,56,9,0,30.15,30.01,0,0
1/7/17,71,62,52,48,44,36,83,30,10,0,30.23,30.13,0,0
1/8/17,74,64,54,52,47,44,77,35,9,0,30.22,30.14,0,0
1/9/17,63,61,58,56,54,48,87,60,13,0,30.22,30.11,0.18,0
1/10/17,65,60,55,54,52,47,86,52,13,0,30.2,30.09,0,0
1/11/17,61,59,56,56,54,52,93,75,15,0,30.11,30.01,0.05,0
1/12/17,61,58,54,54,52,50,93,72,16,0,30.05,29.96,0.32,0
1/13/17,60,57,53,53,49,45,89,62,14,0,30.1,29.99,0.35,0
1/14/17,64,59,53,53,49,45,89,56,14,0,30.06,29.99,0,0
1/15/17,62,59,55,52,48,45,77,64,15,0,30.12,30.03,0,0
1/16/17,64,59,53,51,50,48,89,60,14,0,30.11,30.02,0,0
1/17/17,66,58,50,51,47,40,86,48,16,0,30.19,30.07,0,0
1/18/17,62,56,50,50,46,42,83,57,13,0,30.23,30.06,0,0
1/19/17,65,61,56,56,51,46,87,56,23,0,30.07,29.93,0.19,0
1/20/17,59,57,55,55,51,43,93,72,37,0,29.91,29.52,0.99,0
1/21/17,61,58,54,49,44,40,71,51,23,0,30.16,29.68,0.03,0
1/22/17,62,58,53,55,50,42,71,57,31,0,30.18,29.97,0,0
1/23/17,60,57,53,53,46,41,86,66,32,5,29.99,29.89,0.15,0
1/24/17,57,53,49,44,41,39,77,51,16,0,30.19,29.97,0.05,0
1/25/17,60,53,45,42,39,35,76,39,14,0,30.32,30.2,0,0
1/26/17,62,53,44,44,40,34,76,36,15,0,30.37,30.27,0,0
1/27/17,66,55,44,38,22,12,66,13,22,0,30.49,30.33,0,0
1/28/17,69,57,44,44,29,15,49,13,14,0,30.45,30.33,0,0
1/29/17,76,61,45,35,27,11,61,9,10,0,30.32,30.16,0,0
1/30/17,77,63,49,37,29,19,50,12,12,0,30.19,30.1,0,0
1/31/17,71,61,50,54,43,31,59,23,10,0,30.15,30.08,0,0
2/1/17,65,56,47,52,47,34,100,31,9,0,30.14,30.07,0,0
2/2/17,70,60,50,48,41,25,83,18,10,0,30.17,30.09,0,0
2/3/17,69,62,54,55,49,42,72,42,10,0,30.15,30.07,0,0
2/4/17,66,61,56,56,53,50,87,60,17,0,30.17,30.06,0,0
2/5/17,62,59,55,51,50,49,83,64,16,0,30.12,30,0,0
2/6/17,60,59,57,57,52,45,77,57,17,0,30.14,30.05,0,0
2/7/17,67,63,59,59,56,52,90,58,16,4,30.22,30.11,0.11,0
2/8/17,69,64,58,57,56,54,86,73,14,0,30.21,30.05,0,0
2/9/17,71,64,57,57,56,55,93,66,17,0,30.11,29.98,0,0
2/10/17,68,63,58,57,55,53,93,68,16,0,30.09,30.01,0,0
2/11/17,62,61,59,57,53,47,87,65,14,0,30.13,30.07,0.01,0
2/12/17,67,60,52,51,48,44,83,52,15,0,30.1,29.99,0,0
2/13/17,70,62,53,56,50,44,83,48,13,0,30.09,30.01,0,0
2/14/17,65,61,57,54,52,51,86,63,10,0,30.12,30.04,0,0
2/15/17,70,62,53,54,52,49,100,53,14,0,30.12,30.03,0,0
2/16/17,69,61,53,53,50,45,83,48,17,0,30.07,29.93,0,0
2/17/17,64,61,58,54,51,49,86,60,39,0,29.94,29.51,0,0
2/18/17,61,58,54,54,50,45,83,57,16,4,29.8,29.52,0.04,0
2/19/17,62,59,55,51,47,43,77,55,15,0,30.2,29.81,0.02,0
2/20/17,69,63,56,53,48,45,72,52,12,0,30.33,30.2,0,0
2/21/17,74,65,56,55,53,50,86,53,17,0,30.34,30.22,0,0
2/22/17,64,61,57,55,49,42,87,52,18,0,30.22,30.08,0,0
2/23/17,61,57,52,47,37,33,72,36,16,0,30.15,30.04,0,0
2/24/17,62,55,47,39,37,35,65,39,14,0,30.2,30.12,0,0
2/25/17,62,55,47,45,40,36,71,40,14,0,30.18,30.05,0,0
2/26/17,58,55,52,50,47,43,77,61,21,0,30.06,29.99,0.05,0
2/27/17,59,57,54,56,54,50,93,83,26,0,29.99,29.86,1.35,0
2/28/17,61,58,54,50,45,42,77,51,13,0,30.22,29.93,0,0
3/1/17,70,59,48,46,42,37,80,31,14,0,30.27,30.17,0,0
3/2/17,75,63,50,37,28,14,59,10,14,0,30.19,30.08,0,0
3/3/17,77,64,50,50,32,17,50,11,12,0,30.06,29.96,0,0
3/4/17,63,58,53,52,48,39,72,51,12,0,30.07,30,0,0
3/5/17,64,60,56,51,47,39,77,48,16,0,30.14,29.98,0.01,0
3/6/17,62,57,52,39,36,29,59,29,17,0,30.23,30.14,0,0
3/7/17,67,58,48,46,41,35,66,32,17,0,30.22,30.1,0,0
3/8/17,75,64,53,56,46,39,71,29,15,0,30.14,30.03,0,0
3/9/17,79,67,55,55,50,43,86,28,10,0,30.09,30.04,0,0
3/10/17,78,67,56,51,47,42,72,31,15,0,30.1,30,0,0
3/11/17,69,63,57,54,52,47,78,48,12,0,30.04,29.98,0,0
3/12/17,68,62,56,54,54,53,93,63,10,0,30.05,29.98,0,0
3/13/17,69,62,55,55,54,53,96,53,8,0,30.05,30,0,0
3/14/17,80,67,54,57,53,46,93,32,15,0,30.1,30.01,0,0
3/15/17,75,68,61,58,55,52,90,46,21,0,30.13,30.04,0,0
3/16/17,71,65,59,56,55,54,84,57,14,0,30.15,30.04,0,0
3/17/17,68,62,56,56,54,53,93,63,12,0,30.08,30.01,0,0
3/18/17,69,62,55,55,54,53,93,59,15,0,30.13,30.04,0,0
3/19/17,68,63,57,54,53,51,86,63,13,0,30.14,30.05,0,0
3/20/17,68,64,60,52,49,48,72,52,13,0,30.15,30.09,0,0
3/21/17,72,65,57,55,50,46,78,44,15,0,30.13,30.06,0,0
