STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,class
72290403178,1/1/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.1,44.2,1019.1,999.9,7.2,2.3,8.9,999.9,77,44.1,0,0
72290403178,1/2/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.3,43.4,1021,2.1,8.9,1.2,7,999.9,75,42.8,0,0
72290403178,1/3/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.4,44.3,1021.6,2.6,8.5,3.7,9.9,999.9,75,45,0,0
72290403178,1/4/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",64.2,38.6,1022.3,3.3,9.4,3.5,8,999.9,87.1,48.9,0,0
72290403178,1/5/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",68,27.5,1020.1,1.3,10,5,11.1,999.9,84,55.9,0,0
72290403178,1/6/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",59,33.5,1015.8,997,9.6,4.1,8,999.9,75,44.1,0,0
72290403178,1/7/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",53.1,49,1015.4,996.6,3.7,3.1,7,999.9,64.9,44.1,0,0
72290403178,1/8/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",51.3,41.7,1018.2,998.9,7.4,2.7,17.1,31.1,68,35.1,0,0
72290403178,1/9/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",55.6,28.4,1020.9,1.9,10,3.3,8,999.9,75,39.9,0,0
72290403178,1/10/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",53.5,29,1021,1.9,10,4.3,8.9,999.9,70,41,0,0
72290403178,1/11/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",53,38.8,1017.2,998.2,9.2,3.9,8,999.9,70,42.1,0,0
72290403178,1/12/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.4,43.5,1015.7,996.7,9,1.6,6,999.9,75.9,48,0,0
72290403178,1/13/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.1,20.7,1018.1,999.1,9.5,7.6,19,26,75,42.1,0,0
72290403178,1/14/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",60.8,10.9,1020.1,1.2,10,6.9,15.9,999.9,70,50,0,0
72290403178,1/15/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",54.4,33.4,1019.8,0.8,9.6,3.8,7,999.9,66,42.1,0,0
72290403178,1/16/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",53.3,49,1020.5,1.4,8,2.1,8,999.9,61,51.1,0.04,0
72290403178,1/17/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",49,40.7,1024,4.7,9.8,2.4,6,999.9,57,41,0.11,0
72290403178,1/18/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",48.1,39.3,1024.9,5.7,9.8,3.2,7,999.9,62.1,36,0,0
72290403178,1/19/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",49,41.8,1020.5,1.4,7.8,2.9,7,999.9,64,35.1,0,0
72290403178,1/20/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",50.3,45.9,1018.9,999.7,5.1,2.8,8,999.9,60.1,41,0,0
72290403178,1/21/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",52.8,50.3,1018.2,999.3,6.9,4.5,12,18.1,60.1,48.9,0,0
72290403178,1/22/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",49.4,45.4,1020.3,1.1,9.1,4.2,8.9,28,59,39,0.16,0
72290403178,1/23/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",49.6,45.8,1019.6,999.6,7.8,4.2,13,19,57.2,42.1,0,0
72290403178,1/24/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",53.8,50.3,1018.7,998.9,8.6,3.2,11.1,19,63,43,0.32,0
72290403178,1/25/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",56.3,42.5,1021.8,2.7,9.6,3.3,8,999.9,75,43,0,0
72290403178,1/26/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",61,41.4,1019,0,9.8,4.9,8.9,999.9,81,46.9,0,0
72290403178,1/27/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",58.5,43.3,1015.6,996.8,9.8,3.8,7,999.9,73.9,46.9,0,0
72290403178,1/28/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",63.5,25.5,1018.5,999.7,9.9,3.9,8.9,999.9,75.9,45,0,0
72290403178,1/29/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",60.8,22.6,1020.9,1.9,10,3.5,8,999.9,81,44.1,0,0
72290403178,1/30/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",57.2,30.3,1017.1,998.2,10,4.5,9.9,999.9,73.9,44.1,0,0
72290403178,1/31/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",51.3,44.9,1017.4,998.2,8.1,3.2,7,999.9,63,36,0,0
72290403178,2/1/2012,32.57222,-116.97944,157,"SAN DIEGO BROWN FIELD, CA US",52.4,45.5,1020.5,1.4,7.6,3.9,11.1,15,69.1,41,0,0
